ticker,signal_date,system,pattern_family,A_sobreventa_estructural,B_rebote_suave,D_pullback_controlado,E_microcorreccion_compresion,rsi14,atr14,dist_ema20_atr,dist_bb_lo_atr,body_atr_ratio,wick_low_atr_ratio,bb_width,dist_ema20_pct,dist_ema50_pct,roc10,vol_zscore10,trend_regime,market_bucket,is_trend_up,is_trend_down,is_trend_range,is_supersignal_v40,supersignal_tipo_v40,is_e_prime_v40,is_change_candidate,quality_tier,quality_note,signal_score,signal_score_reasons,setup_code,setup_note,holding_horizon_days,trade_style,entry_price,stop_price,target_price,signal_status
NFLX,2026-04-23,v40,B_D,False,True,True,False,41.439417227577664,3.237200409883484,-1.426722150785586,1.3481052284139246,-0.38304636932076025,0.23075545328258049,6.143634379720579,-4.7399965019956465,-2.3744650113524446,-9.044589006285776,-0.5019727429544738,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
NKE,2026-04-23,v40,D,False,False,True,False,35.35170908563116,1.555526100753512,-1.354791120730474,3.2530305639271786,-0.51429741446979,0.34714756670974883,8.100378208007074,-4.494624189454022,-13.550967624046484,1.7727244984020007,-1.455006721545756,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón D fuera del nicho EU táctico queda desactivado.,7,"quality=AVOID,pattern_D_weak_base,range_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ORLY,2026-04-23,v40,E,False,False,False,True,51.98581419818204,1.8465427855172958,0.19887512609484867,1.3776079101618581,-0.4278270299087843,0.5523818083536295,2.2586134478965603,0.39541347093223767,0.2947835269911492,-1.2288174188126333,-0.5892683122679064,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
PDD,2026-04-23,v40,B_D,False,True,True,False,41.80271385510408,3.333952637418849,-1.0203986436515216,0.10747529654040128,-0.28044945134917976,0.32993824260583976,2.2425758922514607,-3.362553060063622,-4.879449853149797,-2.784133499308261,0.23304497178860129,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
PEP,2026-04-23,v40,E,False,False,False,True,48.88923321456594,3.1923211180569804,-0.06743388997624349,1.1825220049908436,0.05638301070752033,0.2975881539199312,2.2657451920821123,-0.1380689873327623,-0.3255523490944934,-1.136585486372066,-0.3957179742676506,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
PFE,2026-04-23,v40,B_D,False,True,True,False,42.59475251156898,0.5457441732012078,-1.0493276741707303,0.35764481773254375,-0.16491271369875432,0.531386187462646,3.4986444499121925,-2.1020868318931574,-1.4337477609279947,-2.020570356115725,1.181973044302947,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
PG,2026-04-23,v40,E,False,False,False,True,49.87697209797606,2.6325746789274156,0.2844188700521205,1.7559862697909194,0.8793681941624716,0.0,2.1763942748403107,0.5165200362540201,-1.2869133585141745,-0.6477546192013572,1.354617127602503,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ROG.SW,2026-04-23,v40,E,False,False,False,True,41.620940388179704,6.532064145426964,-0.7413293921342204,0.7293203589876293,-0.3214919597790263,0.16840099530953456,2.084781267626533,-1.523046589460586,-3.723505957620876,-0.31836993969062144,-0.9870724219762408,DOWN,EU,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
VRTX,2026-04-23,v40,E,False,False,False,True,42.449033401346924,10.718183840345777,-0.7052540356693525,0.531043643072485,-0.5234082037709774,0.12035700862547048,2.0420096150905387,-1.7076443899340266,-3.580634862173926,-2.6142604207201825,-1.081866110346201,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ZTS,2026-04-23,v40,B,False,True,False,False,42.487556545504006,3.2325139898786865,-0.9176570031673813,0.6129162817350885,-0.3495746302570154,0.3433861736800155,2.743538321835549,-2.4921703749826163,-3.7287075682439164,-3.275273252056954,0.04991743040776006,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
